/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0z63vs5c
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260422_094200-0z63vs5c
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run PPO_Baseline_10x10
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/0z63vs5c
Starting Baseline PPO Training on 10x10 Board...
============================================================
Game 13000 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 13100 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 13200 | Score: 1 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 13300 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 13400 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 13500 | Score: 1 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 13600 | Score: 0 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 13700 | Score: 1 | Record: 3 | Mean: 0.26 | Intrinsic: 0.000
Game 13800 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 13900 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14000 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14100 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14200 | Score: 1 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14300 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14400 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14500 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14600 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14700 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14800 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 14900 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15000 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15100 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15200 | Score: 1 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15300 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15400 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15500 | Score: 1 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15600 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15700 | Score: 1 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15800 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 15900 | Score: 0 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
Game 16000 | Score: 1 | Record: 3 | Mean: 0.27 | Intrinsic: 0.000
============================================================
Training Complete!
Best Score: 3
Final Mean Score: 0.27
