/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ndj5dr5o
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260518_070021-ndj5dr5o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed2
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/ndj5dr5o
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 9000 | Score: 28 | Record: 42 | Mean: 3.93 | ε: 0.010 | Steps: 779,609
Game 9100 | Score: 24 | Record: 42 | Mean: 4.07 | ε: 0.010 | Steps: 803,261
Game 9200 | Score: 12 | Record: 42 | Mean: 4.20 | ε: 0.010 | Steps: 824,316
Game 9300 | Score: 23 | Record: 42 | Mean: 4.34 | ε: 0.010 | Steps: 849,283
Game 9400 | Score: 21 | Record: 42 | Mean: 4.50 | ε: 0.010 | Steps: 876,318
Game 9500 | Score: 11 | Record: 46 | Mean: 4.64 | ε: 0.010 | Steps: 900,773
Game 9600 | Score: 10 | Record: 46 | Mean: 4.80 | ε: 0.010 | Steps: 927,645
Game 9700 | Score: 40 | Record: 46 | Mean: 4.93 | ε: 0.010 | Steps: 952,299
Game 9800 | Score: 31 | Record: 46 | Mean: 5.08 | ε: 0.010 | Steps: 978,154
Game 9900 | Score: 41 | Record: 54 | Mean: 5.23 | ε: 0.010 | Steps: 1,005,831
Game 10000 | Score: 10 | Record: 54 | Mean: 5.38 | ε: 0.010 | Steps: 1,033,196
Game 10100 | Score: 5 | Record: 54 | Mean: 5.50 | ε: 0.010 | Steps: 1,055,887
Game 10200 | Score: 21 | Record: 54 | Mean: 5.62 | ε: 0.010 | Steps: 1,078,778
Game 10300 | Score: 8 | Record: 59 | Mean: 5.77 | ε: 0.010 | Steps: 1,107,181
Game 10400 | Score: 27 | Record: 59 | Mean: 5.88 | ε: 0.010 | Steps: 1,130,536
Game 10500 | Score: 11 | Record: 59 | Mean: 5.98 | ε: 0.010 | Steps: 1,151,893
Game 10600 | Score: 4 | Record: 59 | Mean: 6.10 | ε: 0.010 | Steps: 1,175,440
Game 10700 | Score: 14 | Record: 59 | Mean: 6.22 | ε: 0.010 | Steps: 1,201,300
Game 10800 | Score: 27 | Record: 59 | Mean: 6.36 | ε: 0.010 | Steps: 1,229,107
Game 10900 | Score: 30 | Record: 59 | Mean: 6.49 | ε: 0.010 | Steps: 1,256,682
Game 11000 | Score: 21 | Record: 59 | Mean: 6.62 | ε: 0.010 | Steps: 1,282,819
Game 11100 | Score: 5 | Record: 59 | Mean: 6.74 | ε: 0.010 | Steps: 1,309,823
Game 11200 | Score: 4 | Record: 59 | Mean: 6.87 | ε: 0.010 | Steps: 1,336,064
Game 11300 | Score: 13 | Record: 59 | Mean: 7.01 | ε: 0.010 | Steps: 1,364,430
Game 11400 | Score: 32 | Record: 59 | Mean: 7.13 | ε: 0.010 | Steps: 1,391,774
Game 11500 | Score: 20 | Record: 59 | Mean: 7.24 | ε: 0.010 | Steps: 1,417,165
