/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jlalqc30
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260516_195358-jlalqc30
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed1
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/jlalqc30
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 7500 | Score: 1 | Record: 12 | Mean: 1.79 | ε: 0.053 | Steps: 411,550
Game 7600 | Score: 2 | Record: 15 | Mean: 1.85 | ε: 0.025 | Steps: 423,514
Game 7700 | Score: 14 | Record: 23 | Mean: 1.96 | ε: 0.010 | Steps: 449,446
Game 7800 | Score: 5 | Record: 24 | Mean: 2.07 | ε: 0.010 | Steps: 475,725
Game 7900 | Score: 7 | Record: 28 | Mean: 2.19 | ε: 0.010 | Steps: 502,216
Game 8000 | Score: 14 | Record: 28 | Mean: 2.33 | ε: 0.010 | Steps: 531,382
Game 8100 | Score: 17 | Record: 32 | Mean: 2.46 | ε: 0.010 | Steps: 557,821
Game 8200 | Score: 6 | Record: 32 | Mean: 2.60 | ε: 0.010 | Steps: 583,084
Game 8300 | Score: 29 | Record: 32 | Mean: 2.75 | ε: 0.010 | Steps: 612,752
Game 8400 | Score: 25 | Record: 33 | Mean: 2.89 | ε: 0.010 | Steps: 639,428
Game 8500 | Score: 12 | Record: 37 | Mean: 3.04 | ε: 0.010 | Steps: 667,720
Game 8600 | Score: 17 | Record: 37 | Mean: 3.18 | ε: 0.010 | Steps: 691,832
Game 8700 | Score: 5 | Record: 37 | Mean: 3.32 | ε: 0.010 | Steps: 717,147
Game 8800 | Score: 2 | Record: 37 | Mean: 3.47 | ε: 0.010 | Steps: 744,349
Game 8900 | Score: 33 | Record: 37 | Mean: 3.66 | ε: 0.010 | Steps: 778,238
Game 9000 | Score: 8 | Record: 38 | Mean: 3.81 | ε: 0.010 | Steps: 805,047
Game 9100 | Score: 37 | Record: 46 | Mean: 3.99 | ε: 0.010 | Steps: 836,439
Game 9200 | Score: 26 | Record: 46 | Mean: 4.14 | ε: 0.010 | Steps: 864,386
Game 9300 | Score: 7 | Record: 46 | Mean: 4.28 | ε: 0.010 | Steps: 889,818
Game 9400 | Score: 5 | Record: 46 | Mean: 4.43 | ε: 0.010 | Steps: 916,719
Game 9500 | Score: 27 | Record: 49 | Mean: 4.61 | ε: 0.010 | Steps: 948,106
Game 9600 | Score: 15 | Record: 49 | Mean: 4.74 | ε: 0.010 | Steps: 972,885
Game 9700 | Score: 26 | Record: 49 | Mean: 4.89 | ε: 0.010 | Steps: 1,000,075
Game 9800 | Score: 21 | Record: 49 | Mean: 5.01 | ε: 0.010 | Steps: 1,023,589
Game 9900 | Score: 35 | Record: 49 | Mean: 5.14 | ε: 0.010 | Steps: 1,048,195
Game 10000 | Score: 11 | Record: 49 | Mean: 5.27 | ε: 0.010 | Steps: 1,073,245
Game 10100 | Score: 38 | Record: 49 | Mean: 5.41 | ε: 0.010 | Steps: 1,100,240
Game 10200 | Score: 43 | Record: 49 | Mean: 5.53 | ε: 0.010 | Steps: 1,122,843
Game 10300 | Score: 9 | Record: 49 | Mean: 5.65 | ε: 0.010 | Steps: 1,146,218
Game 10400 | Score: 30 | Record: 49 | Mean: 5.79 | ε: 0.010 | Steps: 1,174,537
Game 10500 | Score: 4 | Record: 49 | Mean: 5.92 | ε: 0.010 | Steps: 1,200,483
Game 10600 | Score: 10 | Record: 52 | Mean: 6.05 | ε: 0.010 | Steps: 1,225,554
Game 10700 | Score: 23 | Record: 52 | Mean: 6.19 | ε: 0.010 | Steps: 1,254,669
Game 10800 | Score: 25 | Record: 53 | Mean: 6.31 | ε: 0.010 | Steps: 1,280,205
Game 10900 | Score: 27 | Record: 53 | Mean: 6.45 | ε: 0.010 | Steps: 1,310,554
