/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mkhy8jw0
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260518_145553-mkhy8jw0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_RND_16x16_dense_seed0
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/mkhy8jw0
ConvDQN+RND | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 β_rnd=0.05 ε_decay/step=3.68e-06
Game 8500 | Score: 4 | Record: 56 | Mean: 8.39 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,209,026
Game 8600 | Score: 7 | Record: 56 | Mean: 8.50 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,231,581
Game 8700 | Score: 6 | Record: 56 | Mean: 8.62 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,255,471
[Game 8750] LR cooldown → 1e-5
Game 8800 | Score: 3 | Record: 56 | Mean: 8.75 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,280,544
Game 8900 | Score: 11 | Record: 56 | Mean: 8.86 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,303,137
Game 9000 | Score: 7 | Record: 56 | Mean: 8.97 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,327,797
Game 9100 | Score: 15 | Record: 56 | Mean: 9.08 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,350,925
Game 9200 | Score: 26 | Record: 56 | Mean: 9.20 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,376,013
Game 9300 | Score: 2 | Record: 57 | Mean: 9.30 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,398,420
Game 9400 | Score: 23 | Record: 57 | Mean: 9.38 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,419,263
Game 9500 | Score: 33 | Record: 57 | Mean: 9.49 | ε: 0.010 | RND_loss: 0.0000 | Steps: 1,444,676
